domain,stack_index,stack_id,slice_count,submitted_peak,corrected_peak,absolute_peak_shift,submitted_constant,corrected_constant
WBC,0,WBC_00000,10,4,4,0,False,False
WBC,1,WBC_00001,10,7,7,0,False,False
WBC,2,WBC_00002,10,7,7,0,False,False
WBC,3,WBC_00003,10,6,6,0,False,False
WBC,4,WBC_00004,10,8,8,0,False,False
WBC,5,WBC_00005,10,7,7,0,False,False
WBC,6,WBC_00006,10,6,6,0,False,False
WBC,7,WBC_00007,10,7,7,0,False,False
WBC,8,WBC_00008,10,7,7,0,False,False
WBC,9,WBC_00009,10,7,7,0,False,False
WBC,10,WBC_00010,10,7,7,0,False,False
WBC,11,WBC_00011,10,7,7,0,False,False
WBC,12,WBC_00012,10,8,8,0,False,False
WBC,13,WBC_00013,10,8,8,0,False,False
WBC,14,WBC_00014,10,8,8,0,False,False
WBC,15,WBC_00015,10,7,7,0,False,False
WBC,16,WBC_00016,10,6,6,0,False,False
WBC,17,WBC_00017,10,6,6,0,False,False
WBC,18,WBC_00018,10,6,6,0,False,False
WBC,19,WBC_00019,10,7,7,0,False,False
WBC,20,WBC_00020,10,7,7,0,False,False
WBC,21,WBC_00021,10,7,7,0,False,False
WBC,22,WBC_00022,10,6,6,0,False,False
WBC,23,WBC_00023,10,8,8,0,False,False
WBC,24,WBC_00024,10,6,6,0,False,False
WBC,25,WBC_00025,10,8,8,0,False,False
WBC,26,WBC_00026,10,7,7,0,False,False
WBC,27,WBC_00027,10,6,6,0,False,False
WBC,28,WBC_00028,10,6,6,0,False,False
WBC,29,WBC_00029,10,6,6,0,False,False
WBC,30,WBC_00030,10,6,6,0,False,False
WBC,31,WBC_00031,10,7,7,0,False,False
WBC,32,WBC_00032,10,7,7,0,False,False
WBC,33,WBC_00033,10,7,7,0,False,False
WBC,34,WBC_00034,10,7,7,0,False,False
WBC,35,WBC_00035,10,6,6,0,False,False
WBC,36,WBC_00036,10,6,6,0,False,False
WBC,37,WBC_00037,10,6,6,0,False,False
WBC,38,WBC_00038,10,8,8,0,False,False
