domain,resolution,operator,height,width,megapixels,kernel_n_measurements,kernel_median_ms,kernel_mean_ms,kernel_sd_ms,kernel_iqr_ms,kernel_p5_ms,kernel_p95_ms,kernel_bootstrap_mean_ci_low_ms,kernel_bootstrap_mean_ci_high_ms,preprocessing_n_measurements,preprocessing_median_ms,preprocessing_mean_ms,preprocessing_sd_ms,preprocessing_iqr_ms,preprocessing_p5_ms,preprocessing_p95_ms,preprocessing_bootstrap_mean_ci_low_ms,preprocessing_bootstrap_mean_ci_high_ms,combined_n_measurements,combined_median_ms,combined_mean_ms,combined_sd_ms,combined_iqr_ms,combined_p5_ms,combined_p95_ms,combined_bootstrap_mean_ci_low_ms,combined_bootstrap_mean_ci_high_ms,io_mean_ms,kernel_megapixels_per_second
WBC,native,Tenengrad,200,200,0.04000000000000001,21,0.080603,0.09002233333333334,0.03186038936255069,0.004497000000000001,0.077553,0.103513,0.08112071190476192,0.10471296904761905,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.128183,0.13438490476190476,0.017620790121060867,0.02351800000000001,0.114286,0.157579,0.12752236190476188,0.14213373214285713,7.448814666666666,496.259444437552
WBC,native,Brenner Gradient,200,200,0.04000000000000001,21,0.042661,0.04560514285714286,0.0067020357674792705,0.002227,0.042337,0.05949,0.04305707738095239,0.04862923928571428,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.078778,0.0852961904761905,0.022143635804941893,0.004898,0.07718,0.093706,0.07915653452380954,0.09572608809523808,7.448814666666666,937.6245282576594
WBC,native,Variance of Laplacian,200,200,0.04000000000000001,21,0.067824,0.06840428571428572,0.0023633086159631613,0.0021599999999999953,0.065818,0.072349,0.06747336309523809,0.06941826071428572,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.106315,0.11150542857142859,0.012831318336676976,0.011494999999999991,0.101386,0.141336,0.10669889642857144,0.11738355833333333,7.448814666666666,589.7617362585518
WBC,native,Sum Modified Laplacian,200,200,0.04000000000000001,21,0.136655,0.1424124761904762,0.018389021971325848,0.02371100000000001,0.127047,0.166385,0.13542963095238097,0.15011090238095237,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.174067,0.2223045714285714,0.18734791489087124,0.026611999999999997,0.163258,0.283792,0.17348656547619046,0.3085640297619048,7.448814666666666,292.70791409022723
WBC,native,Normalized Variance,200,200,0.04000000000000001,21,0.066886,0.06947842857142858,0.005620410648444012,0.003942000000000001,0.065951,0.078692,0.06741872380952381,0.07198233928571426,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.107439,0.11378319047619045,0.019383638983996393,0.007441000000000003,0.103311,0.160142,0.10704752261904761,0.12348834999999997,7.448814666666666,598.0324731632929
WBC,native,Energy of Gradient,200,200,0.04000000000000001,21,0.079121,0.08234342857142857,0.008649156158674837,0.0031009999999999927,0.075124,0.102816,0.07922975476190476,0.08626046666666666,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.118783,0.1223617619047619,0.013714728440274574,0.011281,0.112483,0.141665,0.1173974845238095,0.12864060595238094,7.448814666666666,505.55478318019243
WBC,native,Histogram Entropy,200,200,0.04000000000000001,21,0.168245,0.1769457619047619,0.03672830804557265,0.010559000000000013,0.158813,0.208777,0.16527562142857144,0.19590293571428563,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.216406,0.22967823809523807,0.04954738401056585,0.030412999999999996,0.199872,0.263041,0.21362413333333335,0.253600719047619,7.448814666666666,237.74852150138196
WBC,native,GLCM Contrast,200,200,0.04000000000000001,21,9.697535,9.785419999999998,0.3579814958205243,0.384799000000001,9.459842,10.233641,9.655904252380953,9.93738650595238,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,9.666459,9.842292047619045,0.3154109309931216,0.3727410000000013,9.530634,10.338941,9.719771303571427,9.977955654761905,7.448814666666666,4.124759539408727
WBC,native,Variance of Gradient,200,200,0.04000000000000001,21,0.115684,0.12539357142857144,0.02606995551697668,0.014096999999999998,0.111283,0.157347,0.11692072619047619,0.13749483214285713,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.164819,0.17136238095238093,0.024178680211037553,0.020360000000000017,0.150809,0.224287,0.16213334523809525,0.18165959166666665,7.448814666666666,345.7695100446043
WBC,native,Fourier Transform Sharpness Index,200,200,0.04000000000000001,21,0.532301,0.5442230952380952,0.0634591808384766,0.05961199999999994,0.487032,0.623306,0.5207102416666667,0.5740657083333334,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.573076,0.5824881904761904,0.045960186997682076,0.060388,0.535869,0.673119,0.5651449190476191,0.6023119833333334,7.448814666666666,75.14545341827277
WBC,native,Fourier High Frequency Energy Ratio,200,200,0.04000000000000001,21,0.599362,0.6176322857142856,0.06418187566840258,0.06558900000000001,0.553315,0.750384,0.5905839845238094,0.6453068023809523,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.659838,0.6693959999999999,0.07283880971775966,0.08520300000000003,0.591086,0.779803,0.6413878380952381,0.7028323833333333,7.448814666666666,66.7376310143119
WBC,native,Roberts Focus Measure,200,200,0.04000000000000001,21,0.082051,0.08497538095238094,0.005484662801633211,0.004632999999999998,0.08077,0.096596,0.0827987880952381,0.0875970238095238,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.12035,0.13012919047619048,0.02482507028916343,0.016861,0.115547,0.147855,0.12195609880952381,0.14210990119047617,7.448814666666666,487.5016757870106
WBC,native,Wavelet W1,200,200,0.04000000000000001,21,0.2538,0.2630739523809524,0.03531741343229454,0.02692200000000003,0.237514,0.334722,0.2503183095238095,0.2798999083333333,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.30354,0.30939219047619043,0.030406952768436128,0.02976899999999999,0.281597,0.34654,0.29820192380952376,0.3229749511904762,7.448814666666666,157.60441292356185
WBC,native,Wavelet W2,200,200,0.04000000000000001,21,0.344524,0.37374657142857143,0.08386322005120685,0.053649,0.312071,0.511989,0.3422348428571428,0.4107752095238094,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.414877,0.4470136190476191,0.09121562345260609,0.07083699999999998,0.370534,0.660604,0.4128681892857143,0.48561121071428576,7.448814666666666,116.10221639131092
WBC,native,Wavelet W3,200,200,0.04000000000000001,21,0.356071,0.35889066666666664,0.016238384732889334,0.025363999999999998,0.340672,0.385077,0.35230293809523816,0.36572202619047617,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.403433,0.4222568095238095,0.04822727960669049,0.036472000000000004,0.389376,0.517666,0.4048487964285714,0.44416146785714283,7.448814666666666,112.33714624330543
WBC,native,Wavelet Detail Energy (db1),200,200,0.04000000000000001,21,0.252801,0.26442209523809523,0.029064898435922266,0.018994999999999984,0.241953,0.328822,0.2536535821428571,0.2779500428571429,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.304748,0.3152440476190477,0.03987705964270208,0.02199899999999999,0.286044,0.421557,0.30021563452380956,0.3321873011904761,7.448814666666666,158.22722220244387
WBC,native,Curvelet Transform Sharpness Index,200,200,0.04000000000000001,21,0.261086,0.26222609523809526,0.016041279253553198,0.017822000000000005,0.24308,0.28377,0.25593378809523815,0.26886690238095234,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.305253,0.3201639523809524,0.04693000980340424,0.02172200000000002,0.289249,0.37866,0.30478572023809525,0.3415773404761905,7.448814666666666,153.2062232367879
WBC,native,DCT Focus Measure,200,200,0.04000000000000001,21,0.24223,0.25466680952380955,0.04131715244982288,0.030520999999999993,0.224057,0.315379,0.2403430666666667,0.2749964595238095,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.284607,0.2984187619047619,0.0312076556583553,0.044476000000000016,0.268251,0.355959,0.28587860238095236,0.31280397976190477,7.448814666666666,165.13231226520253
WBC,native,Intensity Skewness Index,200,200,0.04000000000000001,21,0.349081,0.3713783809523809,0.08895651363249135,0.026606999999999992,0.329579,0.436692,0.34554878928571425,0.4130335999999999,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.399909,0.41976314285714295,0.0686976740780106,0.052912000000000015,0.369744,0.504598,0.3953927797619048,0.4516373416666666,7.448814666666666,114.58658592131914
WBC,native,Squared Gradient,200,200,0.04000000000000001,21,0.079129,0.08337366666666667,0.012889364403776214,0.004839999999999997,0.075607,0.109053,0.07864845119047618,0.0899181464285714,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.118364,0.12428238095238095,0.014899272242214351,0.01627999999999999,0.111863,0.158301,0.11869256309523808,0.13074100833333335,7.448814666666666,505.5036712204123
WBC,native,Gradient Squared Energy,200,200,0.04000000000000001,21,0.076265,0.07879414285714285,0.008303050272554744,0.005600999999999995,0.072887,0.098795,0.07574170238095237,0.08274959285714287,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.113985,0.12256795238095237,0.02044116466465693,0.012133000000000005,0.10936,0.15024,0.11562731785714286,0.1323092714285714,7.448814666666666,524.4869861666558
WBC,native,Mean Intensity,200,200,0.04000000000000001,21,0.019817,0.021721380952380954,0.0064198747376891276,0.00028599999999999806,0.01935,0.025545,0.019890301190476193,0.02485144047619047,21,0.033551,0.036450809523809524,0.006440896378758532,0.0035309999999999994,0.032866,0.04988,0.03420080952380952,0.03930560357142856,21,0.054441,0.057516095238095234,0.006098862696476794,0.002925999999999998,0.053269,0.070212,0.055112355952380954,0.06024730476190476,7.448814666666666,2018.468991270122
