domain,resolution,operator,image_index,repeat,height,width,megapixels,kernel_ms,combined_ms
TBF,native,Intensity Range Index,0,0,2160,2560,5.5296,7.474745,29.416781
TBF,native,Intensity Range Index,0,1,2160,2560,5.5296,11.896967,15.704263
TBF,native,Intensity Range Index,0,2,2160,2560,5.5296,7.291092,21.727248
TBF,native,Intensity Range Index,0,3,2160,2560,5.5296,12.10787,13.87913
TBF,native,Intensity Range Index,0,4,2160,2560,5.5296,7.242159,17.718577
TBF,native,Intensity Range Index,0,5,2160,2560,5.5296,11.535947,13.638893
TBF,native,Intensity Range Index,0,6,2160,2560,5.5296,7.538363,17.90793
TBF,native,Intensity Range Index,1,0,2160,2560,5.5296,11.488794,13.357479
TBF,native,Intensity Range Index,1,1,2160,2560,5.5296,7.737064,18.306126
TBF,native,Intensity Range Index,1,2,2160,2560,5.5296,11.859412,15.105641
TBF,native,Intensity Range Index,1,3,2160,2560,5.5296,7.42865,18.050665
TBF,native,Intensity Range Index,1,4,2160,2560,5.5296,12.444742,14.419232
TBF,native,Intensity Range Index,1,5,2160,2560,5.5296,7.306765,18.089486
TBF,native,Intensity Range Index,1,6,2160,2560,5.5296,11.127989,14.479326
TBF,native,Intensity Range Index,2,0,2160,2560,5.5296,8.901504,20.743275
TBF,native,Intensity Range Index,2,1,2160,2560,5.5296,12.378941,15.68072
TBF,native,Intensity Range Index,2,2,2160,2560,5.5296,9.653755,19.399462
TBF,native,Intensity Range Index,2,3,2160,2560,5.5296,13.220996,13.600841
TBF,native,Intensity Range Index,2,4,2160,2560,5.5296,9.66453,18.283562
TBF,native,Intensity Range Index,2,5,2160,2560,5.5296,11.418227,13.831899
TBF,native,Intensity Range Index,2,6,2160,2560,5.5296,9.37851,17.970915
BMA,128,Laplacian Energy,0,0,108,128,0.013824,0.17988,10.796973
BMA,128,Laplacian Energy,0,1,108,128,0.013824,0.177811,12.828029
BMA,128,Laplacian Energy,0,2,108,128,0.013824,0.178713,8.516703
BMA,128,Laplacian Energy,0,3,108,128,0.013824,0.160068,8.353001
BMA,128,Laplacian Energy,0,4,108,128,0.013824,0.159627,8.113411
BMA,128,Laplacian Energy,0,5,108,128,0.013824,0.148905,8.350562
BMA,128,Laplacian Energy,0,6,108,128,0.013824,0.176197,8.155422
BMA,128,Laplacian Energy,1,0,108,128,0.013824,0.135712,8.824161
BMA,128,Laplacian Energy,1,1,108,128,0.013824,0.19362,8.079242
BMA,128,Laplacian Energy,1,2,108,128,0.013824,0.178038,8.269406
BMA,128,Laplacian Energy,1,3,108,128,0.013824,0.172329,8.046774
BMA,128,Laplacian Energy,1,4,108,128,0.013824,0.157119,8.430642
BMA,128,Laplacian Energy,1,5,108,128,0.013824,0.158202,8.091858
BMA,128,Laplacian Energy,1,6,108,128,0.013824,0.154574,8.351284
BMA,128,Laplacian Energy,2,0,108,128,0.013824,0.167,8.053456
BMA,128,Laplacian Energy,2,1,108,128,0.013824,0.147192,9.172963
BMA,128,Laplacian Energy,2,2,108,128,0.013824,0.162849,8.524655
BMA,128,Laplacian Energy,2,3,108,128,0.013824,0.15927,8.46931
BMA,128,Laplacian Energy,2,4,108,128,0.013824,0.165622,8.075975
BMA,128,Laplacian Energy,2,5,108,128,0.013824,0.147109,8.768128
BMA,128,Laplacian Energy,2,6,108,128,0.013824,0.152792,7.982143
PBS,native,Wavelet W1,0,0,2160,2560,5.5296,127.876457,144.939259
PBS,native,Wavelet W1,0,1,2160,2560,5.5296,152.560851,143.889542
PBS,native,Wavelet W1,0,2,2160,2560,5.5296,139.663286,146.288925
PBS,native,Wavelet W1,0,3,2160,2560,5.5296,130.498923,143.131923
PBS,native,Wavelet W1,0,4,2160,2560,5.5296,133.86579,140.192402
PBS,native,Wavelet W1,0,5,2160,2560,5.5296,137.701454,140.819107
PBS,native,Wavelet W1,0,6,2160,2560,5.5296,141.216898,149.581853
PBS,native,Wavelet W1,1,0,2160,2560,5.5296,155.009651,140.9311
PBS,native,Wavelet W1,1,1,2160,2560,5.5296,132.073381,154.599299
PBS,native,Wavelet W1,1,2,2160,2560,5.5296,144.649375,146.762567
PBS,native,Wavelet W1,1,3,2160,2560,5.5296,136.327915,151.166833
PBS,native,Wavelet W1,1,4,2160,2560,5.5296,137.357247,138.742566
PBS,native,Wavelet W1,1,5,2160,2560,5.5296,130.032923,147.952825
