resolution,operator,equal_domain_macro_median_kernel_ms,slice_weighted_micro_median_kernel_ms,equal_domain_macro_median_combined_ms,slice_weighted_micro_median_combined_ms
native,Tenengrad,21.2491196,0.5271332173529917,29.363873800000004,0.7239137569818229
native,Brenner Gradient,11.083782600000001,0.27000108359495695,18.686524000000002,0.47035023254687297
native,Variance of Laplacian,13.0490396,0.3338948036468367,19.7177206,0.5113508534971104
native,Sum Modified Laplacian,26.688581,0.686405524534132,32.5179204,0.8345391863205478
native,Normalized Variance,14.296479999999999,0.3756589514810506,19.144993399999997,0.5156089777871026
native,Energy of Gradient,23.4035132,0.5901550081443476,28.9758184,0.6920533728203856
native,Histogram Entropy,43.9329144,1.0838903495660799,48.938140600000004,1.229930871727479
native,GLCM Contrast,1142.8256306,33.3527167277728,1139.980044,33.17710892584257
native,Variance of Gradient,29.103124,0.7209385260790784,35.9200004,0.9052924483930649
native,Fourier Transform Sharpness Index,161.01985580000002,3.8639733212611342,166.7115656,4.035912626668447
native,Fourier High Frequency Energy Ratio,171.1518524,4.15786861297755,175.2670248,4.283070924183181
native,Roberts Focus Measure,22.7925212,0.5777642089378017,30.5072894,0.7742179387247515
native,Wavelet W1,108.8992454,2.5554051136775446,113.48193060000001,2.689331855141239
native,Wavelet W2,122.48313560000001,2.9497095955215626,125.2593358,3.0401510765187205
native,Wavelet W3,112.07941259999998,2.8643366648114594,117.4580138,3.0313262631139257
native,Wavelet Detail Energy (db1),112.7360838,2.614623617085964,117.951849,2.77816280601194
native,Curvelet Transform Sharpness Index,111.72666139999998,2.6216311960785057,117.25276679999997,2.7761037267771655
native,DCT Focus Measure,59.30723700000001,1.498470250594137,64.36045700000001,1.6334978797459423
native,Intensity Skewness Index,44.0738488,1.2567771290697898,50.179148,1.4325579518739628
native,Squared Gradient,23.6644828,0.5913273244235061,30.5220864,0.7499522116767436
native,Gradient Squared Energy,24.019198199999998,0.5857231669343302,30.800281600000005,0.7637759972152818
native,Mean Intensity,6.3302278,0.16165166294226477,12.1606998,0.31892180650403407
native,Intensity Variance,17.5767832,0.40599247111331516,23.4933008,0.5761311489557306
native,Intensity Range Index,7.4120854,0.18656867218905568,13.789783199999999,0.3559466480268554
native,Maximal Intensity,4.737334,0.11748957503290162,11.9767418,0.3102223380495526
native,Laplacian Energy,127.906837,2.96321372467909,133.21907860000002,3.1450615905586603
native,Mean Absolute Laplacian,128.96107999999998,2.9916557066280114,134.0892802,3.1506704784756527
native,Spatial Frequency,39.343321,0.9359785247706421,45.1457846,1.1209703632302734
native,Modified Tenengrad,288.18358,6.825124777104274,294.061336,7.002277119533083
native,Absolute Central Moment 2,24.3790576,0.5778785686394934,30.449060600000003,0.7394297620782392
native,Absolute Central Moment 4,78.6779424,2.1344080048370175,84.3930322,2.328692791020237
native,Image Power,13.1720936,0.3110284112609434,19.2294308,0.47140555436876536
