operator,submitted_equal_domain_macro_native_ms,corrected_equal_domain_macro_native_kernel_ms,corrected_slice_weighted_micro_native_kernel_ms,submitted_vs_corrected_macro_delta_ms
Tenengrad,19.65141532412963,21.2491196,0.5271332173529917,1.5977042758703703
Brenner Gradient,10.694103856338188,11.083782600000001,0.27000108359495695,0.389678743661813
Variance of Laplacian,15.03496025170898,13.0490396,0.3338948036468367,-1.9859206517089802
Sum Modified Laplacian,32.02486604405567,26.688581,0.686405524534132,-5.336285044055671
Normalized Variance,13.155401044059545,14.296479999999999,0.3756589514810506,1.1410789559404542
Energy of Gradient,19.34099831955973,23.4035132,0.5901550081443476,4.062514880440268
Histogram Entropy,28.006781972013414,43.9329144,1.0838903495660799,15.926132427986587
GLCM Contrast,1181.9852845636196,1142.8256306,33.3527167277728,-39.159653963619576
Variance of Gradient,24.427859227522276,29.103124,0.7209385260790784,4.675264772477725
Fourier Transform Sharpness Index,135.04109208408045,161.01985580000002,3.8639733212611342,25.97876371591957
Fourier High Frequency Energy Ratio,154.2684479833115,171.1518524,4.15786861297755,16.883404416688506
Roberts Focus Measure,19.93390456045745,22.7925212,0.5777642089378017,2.85861663954255
Wavelet W1,118.92941870848881,108.8992454,2.5554051136775446,-10.030173308488813
Wavelet W2,142.4448919565766,122.48313560000001,2.9497095955215626,-19.9617563565766
Wavelet W3,138.6715650355909,112.07941259999998,2.8643366648114594,-26.59215243559092
Wavelet Detail Energy (db1),127.45413181203185,112.7360838,2.614623617085964,-14.718048012031844
Curvelet Transform Sharpness Index,127.31816428765887,111.72666139999998,2.6216311960785057,-15.59150288765889
DCT Focus Measure,57.03153410012601,59.30723700000001,1.498470250594137,2.2757028998739983
Intensity Skewness Index,55.3626291960245,44.0738488,1.2567771290697898,-11.2887803960245
Squared Gradient,18.545308152097277,23.6644828,0.5913273244235061,5.119174647902721
Gradient Squared Energy,18.8264434117591,24.019198199999998,0.5857231669343302,5.192754788240897
Mean Intensity,4.689425211399794,6.3302278,0.16165166294226477,1.6408025886002067
Intensity Variance,14.097044112277217,17.5767832,0.40599247111331516,3.479739087722784
Intensity Range Index,6.625590719690081,7.4120854,0.18656867218905568,0.7864946803099189
Maximal Intensity,4.6634018601616845,4.737334,0.11748957503290162,0.07393213983831526
Laplacian Energy,110.58234582393197,127.906837,2.96321372467909,17.324491176068022
Mean Absolute Laplacian,112.11903034796705,128.96107999999998,2.9916557066280114,16.842049652032927
Spatial Frequency,26.09236939199036,39.343321,0.9359785247706421,13.250951608009643
Modified Tenengrad,250.32806657650508,288.18358,6.825124777104274,37.855513423494926
Absolute Central Moment 2,17.766280528448988,24.3790576,0.5778785686394934,6.612777071551012
Absolute Central Moment 4,70.56470187212108,78.6779424,2.1344080048370175,8.11324052787893
Image Power,8.699326895701233,13.1720936,0.3110284112609434,4.472766704298767
