domain,operator,S
WBC,Tenengrad,0.12126386212523257
WBC,Brenner Gradient,0.12113262724448352
WBC,Variance of Laplacian,0.11756498797253834
WBC,Sum Modified Laplacian,0.12151354278080527
WBC,Normalized Variance,0.3181527356810565
WBC,Energy of Gradient,0.12124855274402185
WBC,Histogram Entropy,0.3326003234833088
WBC,GLCM Contrast,0.22626245362886632
WBC,Variance of Gradient,0.12220241549402644
WBC,Fourier Transform Sharpness Index,0.1487119440829541
WBC,Fourier High Frequency Energy Ratio,0.11756409194026447
WBC,Roberts Focus Measure,0.11790700972075915
WBC,Wavelet W1,0.1535881281544865
WBC,Wavelet W2,0.15452532673813116
WBC,Wavelet W3,0.15464460975084382
WBC,Wavelet Detail Energy (db1),0.1535783221913752
WBC,Curvelet Transform Sharpness Index,0.15366390803707752
WBC,DCT Focus Measure,0.17700586460479625
WBC,Intensity Skewness Index,0.3409727906116428
WBC,Squared Gradient,0.12124863538575578
WBC,Gradient Squared Energy,0.12121904964500849
WBC,Mean Intensity,0.3344630357548227
WBC,Intensity Variance,0.3180524169443051
WBC,Intensity Range Index,0.30963253752237896
WBC,Maximal Intensity,0.6180067618663001
WBC,Laplacian Energy,0.12007073329702059
WBC,Mean Absolute Laplacian,0.16133271759024614
WBC,Spatial Frequency,0.13720877516777316
WBC,Modified Tenengrad,0.1282450207149293
WBC,Absolute Central Moment 2,0.31817291892259325
WBC,Absolute Central Moment 4,0.2822919535150015
WBC,Image Power,0.27688265240312343
TBI,Tenengrad,0.17551857550204056
TBI,Brenner Gradient,0.18546106793262776
TBI,Variance of Laplacian,0.4863293994542653
TBI,Sum Modified Laplacian,0.48475558607957814
TBI,Normalized Variance,0.13942236212100553
TBI,Energy of Gradient,0.1755067528456498
TBI,Histogram Entropy,0.19855655352536314
TBI,GLCM Contrast,0.6595894860964984
TBI,Variance of Gradient,0.17680980536634838
TBI,Fourier Transform Sharpness Index,0.16062525332787098
TBI,Fourier High Frequency Energy Ratio,0.3246079115395408
TBI,Roberts Focus Measure,0.19506366020608681
TBI,Wavelet W1,0.22530318287182421
TBI,Wavelet W2,0.22621732644699308
TBI,Wavelet W3,0.22316945894739038
TBI,Wavelet Detail Energy (db1),0.2255037005108254
TBI,Curvelet Transform Sharpness Index,0.2253547744174149
TBI,DCT Focus Measure,0.150424227828488
TBI,Intensity Skewness Index,0.6765866972630247
TBI,Squared Gradient,0.1755415028128597
TBI,Gradient Squared Energy,0.17548974356893768
TBI,Mean Intensity,0.557829594245772
TBI,Intensity Variance,0.14134838450694026
TBI,Intensity Range Index,0.3493491604887001
TBI,Maximal Intensity,0.4337516585925473
TBI,Laplacian Energy,0.4964420905604734
TBI,Mean Absolute Laplacian,0.5446829616247388
TBI,Spatial Frequency,0.20825327799550217
TBI,Modified Tenengrad,0.20443018220281178
TBI,Absolute Central Moment 2,0.14193946206976715
TBI,Absolute Central Moment 4,0.14596349866064437
TBI,Image Power,0.5683738094096734
PBS,Tenengrad,0.16500436508928584
PBS,Brenner Gradient,0.16820331901857458
PBS,Variance of Laplacian,0.4789179844028347
PBS,Sum Modified Laplacian,0.46019205798340573
PBS,Normalized Variance,0.33673903723611365
PBS,Energy of Gradient,0.16582844829330737
PBS,Histogram Entropy,0.6059497743698229
PBS,GLCM Contrast,0.3221109438316699
