operator,mu,sigma,G,S_WBC,S_TBI,S_PBS,S_BMA,S_TBF,rank
Variance of Gradient,0.14345157859379307,0.018095110838924358,0.10584463826733244,0.12220241549402644,0.17680980536634838,0.13551571134198528,0.14213347966525428,0.14059648110135103,1
Tenengrad,0.1494277520548801,0.01901626237306613,0.1103043051503359,0.12126386212523257,0.17551857550204056,0.16500436508928584,0.14225666343057342,0.1430952941272682,2
Squared Gradient,0.14959634672236882,0.019115372265703458,0.1104520543853692,0.12124863538575578,0.1755415028128597,0.16562296926412062,0.14224431920211691,0.14332430694699105,3
Energy of Gradient,0.14957739102219952,0.019160799552265503,0.11045241358121932,0.12124855274402185,0.1755067528456498,0.16582844829330737,0.14202060669059946,0.14328259453741926,4
Gradient Squared Energy,0.14961642327423613,0.019175175207676653,0.1104840488542683,0.12121904964500849,0.17548974356893768,0.16595055738337547,0.14224550386867701,0.14317726190518185,5
Brenner Gradient,0.15375365412051625,0.02217974158949291,0.11428148036120925,0.12113262724448352,0.18546106793262776,0.16820331901857458,0.14028458222204765,0.15368667418484774,6
Modified Tenengrad,0.16798040661457528,0.024657952998095253,0.12498367052963126,0.1282450207149293,0.20443018220281178,0.1783202602357207,0.16508274902206327,0.16382382089735126,7
Fourier Transform Sharpness Index,0.1803284991253758,0.032432750903901256,0.13595977465893344,0.1487119440829541,0.16062525332787098,0.24188199910143204,0.17911001780302593,0.17131328131159587,8
DCT Focus Measure,0.2380502829121463,0.101960919494014,0.1972234738867066,0.17700586460479625,0.150424227828488,0.2450987445783607,0.1853758218766771,0.4323467556724095,9
Roberts Focus Measure,0.22541621669369755,0.13698842775147713,0.19888788001103141,0.11790700972075915,0.19506366020608681,0.17705938391314227,0.14292287623746985,0.49412815339102956,10
Spatial Frequency,0.23746528842638984,0.12602929200635296,0.20403448950037878,0.13720877516777316,0.20825327799550217,0.20901139976344382,0.15024461491612298,0.4826083742891071,11
Wavelet W1,0.25849884359153014,0.11961457668900974,0.216833563520774,0.1535881281544865,0.22530318287182421,0.2750316419545027,0.15840271877813009,0.4801685461987072,12
Curvelet Transform Sharpness Index,0.25872036842176527,0.11962558045906209,0.2169919320329543,0.15366390803707752,0.2253547744174149,0.2754274170132662,0.15877538692083776,0.48038035572023,13
Wavelet Detail Energy (db1),0.25877362627122513,0.11958085194665095,0.21701579397385287,0.1535783221913752,0.2255037005108254,0.2757211846408313,0.15882392330003503,0.48024100071305875,14
Wavelet W3,0.2589652102595231,0.11979789324501683,0.21721501515517122,0.15464460975084382,0.22316945894739038,0.27629045708087274,0.15949659534414065,0.48122493017436824,15
Wavelet W2,0.2596441455202589,0.11974533880654309,0.21767450350614415,0.15452532673813116,0.22621732644699308,0.2766903087902576,0.15937248720126856,0.48141527842464416,16
Absolute Central Moment 4,0.27982039796574343,0.07838105303783474,0.2193885944873708,0.2822919535150015,0.14596349866064437,0.35451602712367275,0.36111745263315403,0.2552130578962446,17
Normalized Variance,0.2824725013794673,0.07481458921338445,0.22017512772964243,0.3181527356810565,0.13942236212100553,0.33673903723611365,0.3398044678920445,0.27824390396711635,18
Intensity Variance,0.28643072181821827,0.0784782777907487,0.2240449886099774,0.3180524169443051,0.14134838450694026,0.3595683516888895,0.34253175119505647,0.27065270475590003,19
Absolute Central Moment 2,0.2869330002067607,0.07841495261097844,0.224377585928026,0.31817291892259325,0.14193946206976715,0.36019670273560284,0.3429423162512766,0.27141360105456375,20
Fourier High Frequency Energy Ratio,0.27715775973151385,0.1337554219969627,0.23413705841114849,0.11756409194026447,0.3246079115395408,0.25844082225677023,0.18007897751912508,0.5050969954018686,21
Intensity Range Index,0.3193467150521229,0.05371630521778856,0.2396575921018226,0.30963253752237896,0.3493491604887001,0.37187498104976535,0.3462722965553083,0.21960459964446194,22
Histogram Entropy,0.35926992410496517,0.15966023504447294,0.2993870173868175,0.3326003234833088,0.19855655352536314,0.6059497743698229,0.4680192622501795,0.19122370689615154,23
Variance of Laplacian,0.3635553070921291,0.15221011974463938,0.30015175088788215,0.11756498797253834,0.4863293994542653,0.4789179844028347,0.2514745357856599,0.4834896278453472,24
Sum Modified Laplacian,0.3674957385272297,0.1522734851574242,0.30292906251628804,0.12151354278080527,0.48475558607957814,0.46019205798340573,0.2581560655989032,0.5128614401934561,25
Laplacian Energy,0.37213917127507096,0.15465246931286514,0.3068931606864092,0.12007073329702059,0.4964420905604734,0.4889764808999524,0.2616581414604806,0.4935484101574279,26
Image Power,0.39493189883968605,0.10284290675268595,0.307305201213586,0.27688265240312343,0.5683738094096734,0.37006350928746945,0.31729471063918185,0.4420448124589817,27
Mean Absolute Laplacian,0.383700725026827,0.14180374097157283,0.3111316298102507,0.16133271759024614,0.5446829616247388,0.4759842530168954,0.2782932217965226,0.45821047110573193,28
Mean Intensity,0.43405232974400915,0.07384933025988213,0.325991429898771,0.3344630357548227,0.557829594245772,0.41617700556347176,0.4018243085888307,0.4599677045671484,29
Intensity Skewness Index,0.4435609890295978,0.11883279327276997,0.3461425303025494,0.3409727906116428,0.6765866972630247,0.40780984999010667,0.39937583188152664,0.3930597754016882,30
Maximal Intensity,0.44151458767057583,0.12561807583364704,0.34674563411949716,0.6180067618663001,0.4337516585925473,0.4179422365739401,0.5042114831718865,0.23366079814820565,31
GLCM Contrast,0.4449476427317839,0.20382310045756682,0.3726102800495188,0.22626245362886632,0.6595894860964984,0.3221109438316699,0.29544774267340024,0.7213275874284848,32
