operator,family,submitted_G,corrected_G,G_delta,submitted_rank,corrected_rank,rank_shift,submitted_top5,corrected_top5
Variance of Gradient,gradient,0.10226159618718453,0.10584463826733244,0.0035830420801479107,1,1,0,True,True
Tenengrad,gradient,0.10689891001357385,0.1103043051503359,0.0034053951367620516,5,2,-3,True,True
Squared Gradient,gradient,0.10587024391532437,0.1104520543853692,0.004581810470044828,3,3,0,True,True
Energy of Gradient,gradient,0.10681720936610134,0.11045241358121932,0.003635204215117982,4,4,0,True,True
Gradient Squared Energy,gradient,0.10584065091066588,0.1104840488542683,0.004643397943602412,2,5,3,True,True
Brenner Gradient,gradient,0.10969771518476504,0.11428148036120925,0.00458376517644421,6,6,0,False,False
Modified Tenengrad,gradient,0.11683166569691544,0.12498367052963126,0.008152004832715817,7,7,0,False,False
Fourier Transform Sharpness Index,frequency,0.1282247546775048,0.13595977465893344,0.0077350199814286424,8,8,0,False,False
DCT Focus Measure,frequency,0.15180337668350694,0.1972234738867066,0.04542009720319967,10,9,-1,False,False
Roberts Focus Measure,gradient,0.13921879718263058,0.19888788001103141,0.05966908282840083,9,10,1,False,False
Spatial Frequency,gradient,0.1542812030557605,0.20403448950037878,0.04975328644461827,11,11,0,False,False
Wavelet W1,wavelet,0.17942523424883805,0.216833563520774,0.037408329271935936,12,12,0,False,False
Curvelet Transform Sharpness Index,wavelet_alias,0.17962379175672377,0.2169919320329543,0.03736814027623053,14,13,-1,False,False
Wavelet Detail Energy (db1),wavelet,0.17947748932870253,0.21701579397385287,0.037538304645150344,13,14,1,False,False
Wavelet W3,wavelet,0.18028511568123187,0.21721501515517122,0.03692989947393935,15,15,0,False,False
Wavelet W2,wavelet,0.18088937553300746,0.21767450350614415,0.03678512797313668,16,16,0,False,False
Absolute Central Moment 4,statistical,0.20526013432057866,0.2193885944873708,0.014128460166792145,18,17,-1,False,False
Normalized Variance,statistical,0.20406596372184838,0.22017512772964243,0.016109164007794052,17,18,1,False,False
Intensity Variance,statistical,0.20855226485493475,0.2240449886099774,0.015492723755042653,19,19,0,False,False
Absolute Central Moment 2,statistical,0.20869570014474065,0.224377585928026,0.01568188578328536,20,20,0,False,False
Fourier High Frequency Energy Ratio,frequency,0.21394224581274932,0.23413705841114849,0.02019481259839917,21,21,0,False,False
Intensity Range Index,statistical,0.23761749582467942,0.2396575921018226,0.0020400962771431885,22,22,0,False,False
Histogram Entropy,entropy,0.34482711571671887,0.2993870173868175,-0.04544009832990137,32,23,-9,False,False
Variance of Laplacian,laplacian,0.27188937187713935,0.30015175088788215,0.0282623790107428,24,24,0,False,False
Sum Modified Laplacian,laplacian,0.267038090939282,0.30292906251628804,0.03589097157700605,23,25,2,False,False
Laplacian Energy,laplacian,0.2761455845155937,0.3068931606864092,0.030747576170815527,25,26,1,False,False
Image Power,statistical,0.282605406094417,0.307305201213586,0.024699795119169032,26,27,1,False,False
Mean Absolute Laplacian,laplacian,0.2906931804267344,0.3111316298102507,0.0204384493835163,27,28,1,False,False
Mean Intensity,statistical,0.3092327997418083,0.325991429898771,0.016758630156962717,28,29,1,False,False
Intensity Skewness Index,statistical,0.33804114204953795,0.3461425303025494,0.008101388253011432,30,30,0,False,False
Maximal Intensity,statistical,0.3442896738433553,0.34674563411949716,0.0024559602761418664,31,31,0,False,False
GLCM Contrast,texture,0.3339900512788854,0.3726102800495188,0.03862022877063337,29,32,3,False,False
