operator,domain_specific,equal_domain_macro_mean_displacement,per_stack_micro_mean_displacement,balanced_subsampling_mean_displacement,balanced_subsampling_sd
Tenengrad,WBC:0.0243666 | TBI:0 | PBS:0.467532 | BMA:0.0263158 | TBF:0.010989,0.10584077063624202,0.025555555555555557,0.10644666666666666,0.04471584352573227
Brenner Gradient,WBC:0.0796182 | TBI:0 | PBS:0.233766 | BMA:0.0263158 | TBF:0.021978,0.07233565006325973,0.07950191570881227,0.07404,0.03630023716629741
Variance of Laplacian,WBC:0.765258 | TBI:1.93333 | PBS:5.93506 | BMA:0 | TBF:5.41758,2.8102477803886257,0.8131800766283525,2.811706666666667,0.1492988043402286
Sum Modified Laplacian,WBC:0.797928 | TBI:1.93333 | PBS:5.16883 | BMA:0 | TBF:4.96154,2.57232620559125,0.84,2.5710466666666667,0.1598210197638545
Normalized Variance,WBC:2.26516 | TBI:0.0333333 | PBS:2.1039 | BMA:0.105263 | TBF:0.186813,0.9388933994325195,2.2444827586206895,0.9399,0.06300973649810185
Energy of Gradient,WBC:0.0243666 | TBI:0 | PBS:0.467532 | BMA:0.0263158 | TBF:0.010989,0.10584077063624202,0.025555555555555557,0.10644666666666666,0.04471584352573227
Histogram Entropy,WBC:1.99177 | TBI:0.1 | PBS:7.20779 | BMA:5.10526 | TBF:0.423077,2.9655813252497665,1.9985823754789271,2.9669333333333334,0.12603417593014712
GLCM Contrast,WBC:0.245761 | TBI:3.26667 | PBS:0.779221 | BMA:0.315789 | TBF:7.04396,2.330278806262363,0.2983141762452107,2.333793333333333,0.06688327805958008
Variance of Gradient,WBC:0.110503 | TBI:0 | PBS:0.519481 | BMA:0.0526316 | TBF:0.0494505,0.14641317754061198,0.1110727969348659,0.14643333333333333,0.047406676201818446
Fourier Transform Sharpness Index,WBC:0.0792302 | TBI:0 | PBS:0.298701 | BMA:0 | TBF:0.021978,0.0799819045657714,0.079272030651341,0.08023333333333334,0.031871010603249275
Fourier High Frequency Energy Ratio,WBC:0.459201 | TBI:0.633333 | PBS:1.68831 | BMA:0.289474 | TBF:5.00549,1.6151629402562755,0.49448275862068963,1.6221533333333331,0.13021797063167198
Roberts Focus Measure,WBC:0.100532 | TBI:0.0333333 | PBS:0.415584 | BMA:0.0263158 | TBF:3.99451,0.9140541193873629,0.12842911877394636,0.91716,0.12273466583731835
Wavelet W1,WBC:0.171381 | TBI:0.1 | PBS:0.844156 | BMA:0.0263158 | TBF:7.07143,1.6426562215105918,0.22118773946360154,1.6449133333333334,0.07433981292391945
Wavelet W2,WBC:0.171381 | TBI:0.1 | PBS:0.844156 | BMA:0.0263158 | TBF:7.07143,1.6426562215105918,0.22118773946360154,1.6449133333333334,0.07433981292391945
Wavelet W3,WBC:0.171381 | TBI:0.1 | PBS:0.844156 | BMA:0.0263158 | TBF:7.07143,1.6426562215105918,0.22118773946360154,1.6449133333333334,0.07433981292391945
Wavelet Detail Energy (db1),WBC:0.171381 | TBI:0.1 | PBS:0.844156 | BMA:0.0263158 | TBF:7.07143,1.6426562215105918,0.22118773946360154,1.6449133333333334,0.07433981292391945
Curvelet Transform Sharpness Index,WBC:0.171381 | TBI:0.1 | PBS:0.844156 | BMA:0.0263158 | TBF:7.07143,1.6426562215105918,0.22118773946360154,1.6449133333333334,0.07433981292391945
DCT Focus Measure,WBC:0.594459 | TBI:0.0333333 | PBS:0.532468 | BMA:0.0263158 | TBF:3.28022,0.8933591506770291,0.6115325670498084,0.8980799999999999,0.12371462240449015
Intensity Skewness Index,WBC:2.89043 | TBI:3.36667 | PBS:7.83117 | BMA:6.81579 | TBF:7.07692,5.596195203139067,2.9404597701149426,5.593626666666667,0.12201147796954134
Squared Gradient,WBC:0.0243666 | TBI:0 | PBS:0.467532 | BMA:0.0263158 | TBF:0.010989,0.10584077063624202,0.025555555555555557,0.10644666666666666,0.04471584352573227
Gradient Squared Energy,WBC:0.0243666 | TBI:0 | PBS:0.467532 | BMA:0.0263158 | TBF:0.010989,0.10584077063624202,0.025555555555555557,0.10644666666666666,0.04471584352573227
Mean Intensity,WBC:4.91786 | TBI:3.4 | PBS:2.23377 | BMA:4.89474 | TBF:6.8956,4.468393449442037,4.921954022988506,4.467626666666667,0.09876227996304589
Intensity Variance,WBC:2.26419 | TBI:0.0333333 | PBS:1.55844 | BMA:0.105263 | TBF:0.175824,0.8274106866693968,2.2418390804597705,0.8275066666666666,0.058409621310529125
Intensity Range Index,WBC:1.22799 | TBI:1.16667 | PBS:1.63636 | BMA:1.52632 | TBF:0.620879,1.2356431492222313,1.2253256704980844,1.2314,0.07405081716985656
Maximal Intensity,WBC:1.22039 | TBI:1.7 | PBS:1.77922 | BMA:1.94737 | TBF:0.615385,1.452471898117831,1.2194252873563218,1.4462933333333332,0.07968430201732327
Laplacian Energy,WBC:0.765258 | TBI:1.93333 | PBS:5.93506 | BMA:0 | TBF:5.41758,2.8102477803886257,0.8131800766283525,2.811706666666667,0.1492988043402286
Mean Absolute Laplacian,WBC:0.765607 | TBI:2.5 | PBS:5.27273 | BMA:0.0789474 | TBF:6.90659,3.1047750932716225,0.82272030651341,3.10398,0.13390178971652802
