operator,mean_displacement,ci_low,ci_high,probability_rank1,probability_top5
Tenengrad,0.10644666666666666,0.019999999999999997,0.19333333333333333,0.113,1.0
Brenner Gradient,0.07404,0.019999999999999997,0.14666666666666664,0.557,0.788
Variance of Laplacian,2.811706666666667,2.5,3.0935,0.0,0.0
Sum Modified Laplacian,2.5710466666666667,2.2533333333333334,2.866833333333333,0.0,0.0
Normalized Variance,0.9399,0.8266666666666667,1.0733333333333333,0.0,0.0
Energy of Gradient,0.10644666666666666,0.019999999999999997,0.19333333333333333,0.0,0.997
Histogram Entropy,2.9669333333333334,2.713333333333334,3.2068333333333334,0.0,0.0
GLCM Contrast,2.333793333333333,2.1931666666666665,2.4666666666666663,0.0,0.0
Variance of Gradient,0.14643333333333333,0.05333333333333334,0.24,0.0,0.01
Fourier Transform Sharpness Index,0.08023333333333334,0.026666666666666665,0.13999999999999999,0.308,0.825
Fourier High Frequency Energy Ratio,1.6221533333333331,1.3731666666666666,1.88,0.0,0.0
Roberts Focus Measure,0.91716,0.6733333333333333,1.1533333333333333,0.0,0.0
Wavelet W1,1.6449133333333334,1.5131666666666665,1.7933333333333334,0.0,0.0
Wavelet W2,1.6449133333333334,1.5131666666666665,1.7933333333333334,0.0,0.0
Wavelet W3,1.6449133333333334,1.5131666666666665,1.7933333333333334,0.0,0.0
Wavelet Detail Energy (db1),1.6449133333333334,1.5131666666666665,1.7933333333333334,0.0,0.0
Curvelet Transform Sharpness Index,1.6449133333333334,1.5131666666666665,1.7933333333333334,0.0,0.0
DCT Focus Measure,0.8980799999999999,0.6531666666666667,1.14,0.0,0.0
Intensity Skewness Index,5.593626666666667,5.3533333333333335,5.826666666666666,0.0,0.0
Squared Gradient,0.10644666666666666,0.019999999999999997,0.19333333333333333,0.0,0.878
Gradient Squared Energy,0.10644666666666666,0.019999999999999997,0.19333333333333333,0.0,0.268
Mean Intensity,4.467626666666667,4.273333333333333,4.666833333333334,0.0,0.0
Intensity Variance,0.8275066666666666,0.7198333333333333,0.9401666666666666,0.0,0.0
Intensity Range Index,1.2314,1.0866666666666667,1.38,0.0,0.0
Maximal Intensity,1.4462933333333332,1.2866666666666668,1.6066666666666667,0.0,0.0
Laplacian Energy,2.811706666666667,2.5,3.0935,0.0,0.0
Mean Absolute Laplacian,3.10398,2.84,3.3535,0.0,0.0
Spatial Frequency,1.1236933333333334,0.8933333333333333,1.3335,0.0,0.0
Modified Tenengrad,0.11229333333333333,0.019999999999999997,0.20666666666666664,0.022,0.234
Absolute Central Moment 2,0.8275066666666666,0.7198333333333333,0.9401666666666666,0.0,0.0
Absolute Central Moment 4,0.8805533333333334,0.7665,1.0066666666666668,0.0,0.0
Image Power,2.21322,1.9664999999999997,2.4866666666666664,0.0,0.0
