domain,operator,family,criterion,raw_value,normalized_value,unit,sample_count,reference_tier,runtime_protocol,candidate_pool
WBC,Tenengrad,gradient,absolute_peak_localization_error,0.024366585186047413,0.0,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Tenengrad,gradient,range_around_global_maximum,1.3655763783804757,0.013015870148404428,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Tenengrad,gradient,false_maxima_count,0.3496294571838746,0.4635576108903797,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Tenengrad,gradient,fwhm,4.553369805610522,0.04251579097874631,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Tenengrad,gradient,noise_level,0.04908831987538122,0.11048968781309357,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Tenengrad,gradient,steep_to_gradual_slope_ratio,0.7121105959655512,0.06807178859993661,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Tenengrad,gradient,execution_time_per_slice,8.0603e-05,0.006550080529204607,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Tenengrad,gradient,steep_slope_width,7.736817599813759,0.8702560236271986,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Tenengrad,gradient,curvature_at_peak,0.2955417024122474,0.02067212363025103,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Tenengrad,gradient,rrmse_under_additive_noise,0.10492427442965269,0.11293156717926686,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,absolute_peak_localization_error,0.07961820509835875,0.01129083412622899,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,range_around_global_maximum,1.3567299111473248,0.010956454191543775,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,false_maxima_count,0.35063826485081284,0.46525109099198847,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,fwhm,4.5066154502774225,0.032380968401221386,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,noise_level,0.04864058597428688,0.10921740757298054,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,steep_to_gradual_slope_ratio,0.7310385934621579,0.061083238714310956,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,execution_time_per_slice,4.2661e-05,0.00263058969319153,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Brenner Gradient,gradient,steep_slope_width,7.764210608000621,0.8746549693756114,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,curvature_at_peak,0.3033744559390114,0.017770504937126584,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Brenner Gradient,gradient,rrmse_under_additive_noise,0.1032533466631154,0.11106778074999918,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,absolute_peak_localization_error,0.7652582159624414,0.15140342530922934,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,range_around_global_maximum,1.3158732006363247,0.0014452041802530799,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,false_maxima_count,0.1809645753307725,0.18042076467139972,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,fwhm,4.3572343149807935,0.0,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,noise_level,0.051955034803791794,0.11863574230782642,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,steep_to_gradual_slope_ratio,0.8375985995607935,0.027633853358824408,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,execution_time_per_slice,6.782399999999999e-05,0.005229982131824101,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Variance of Laplacian,laplacian,steep_slope_width,8.404376673262718,0.9774569607397209,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,curvature_at_peak,0.35213599441075316,0.0026100710772087882,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Variance of Laplacian,laplacian,rrmse_under_additive_noise,0.09103817164534388,0.09744272891641105,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,absolute_peak_localization_error,0.7979280642532883,0.15807960672375518,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,range_around_global_maximum,1.3228572537151282,0.0030710588830378206,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,false_maxima_count,0.18158538004888838,0.18146290627238978,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,fwhm,4.42296201451131,0.01424762609653745,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,noise_level,0.051331014390503554,0.11686252647736708,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,steep_to_gradual_slope_ratio,0.8290526165231099,0.029999305373871184,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,execution_time_per_slice,0.000136655,0.012340373617080973,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
