reference_tier,family,operator_count,mean_rank,median_rank,top5_count
REF-A_submitted_full,gradient,9,6.444444444444445,6.0,4
REF-A_submitted_full,frequency,3,10.666666666666666,12.0,1
REF-A_submitted_full,statistical,9,18.666666666666668,16.0,0
REF-A_submitted_full,wavelet_alias,1,19.0,19.0,0
REF-A_submitted_full,wavelet,4,21.5,21.5,0
REF-A_submitted_full,texture,1,25.0,25.0,0
REF-A_submitted_full,laplacian,4,27.5,27.5,0
REF-A_submitted_full,entropy,1,30.0,30.0,0
REF-B_fixed_ten_diagnostic,gradient,9,6.444444444444445,6.0,4
REF-B_fixed_ten_diagnostic,frequency,3,10.666666666666666,12.0,1
REF-B_fixed_ten_diagnostic,statistical,9,18.666666666666668,16.0,0
REF-B_fixed_ten_diagnostic,wavelet_alias,1,19.0,19.0,0
REF-B_fixed_ten_diagnostic,wavelet,4,21.5,21.5,0
REF-B_fixed_ten_diagnostic,texture,1,25.0,25.0,0
REF-B_fixed_ten_diagnostic,laplacian,4,27.5,27.5,0
REF-B_fixed_ten_diagnostic,entropy,1,30.0,30.0,0
REF-C_fixed_disjoint_four,gradient,9,5.888888888888889,5.0,5
REF-C_fixed_disjoint_four,statistical,8,16.625,14.5,0
REF-C_fixed_disjoint_four,frequency,2,13.5,13.5,0
REF-C_fixed_disjoint_four,wavelet_alias,1,17.0,17.0,0
REF-C_fixed_disjoint_four,wavelet,4,19.5,19.5,0
REF-C_fixed_disjoint_four,laplacian,4,24.5,24.5,0
