reference_tier,operator,family,equal_domain_mean_absolute_displacement,rank,rank_shift_vs_REF-A
REF-A_submitted_full,Brenner Gradient,gradient,0.048144220494109304,1,0
REF-A_submitted_full,Fourier Transform Sharpness Index,frequency,0.07381709199891016,2,0
REF-A_submitted_full,Energy of Gradient,gradient,0.09975355865914529,3,0
REF-A_submitted_full,Gradient Squared Energy,gradient,0.09975355865914529,4,0
REF-A_submitted_full,Squared Gradient,gradient,0.09975355865914529,5,0
REF-A_submitted_full,Tenengrad,gradient,0.09975355865914529,6,0
REF-A_submitted_full,Modified Tenengrad,gradient,0.10641028221727729,7,0
REF-A_submitted_full,Variance of Gradient,gradient,0.14057428745076161,8,0
REF-A_submitted_full,Roberts Focus Measure,gradient,0.7431482433598479,9,0
REF-A_submitted_full,Absolute Central Moment 2,statistical,0.7678078908310055,10,0
REF-A_submitted_full,Intensity Variance,statistical,0.7678078908310055,11,0
REF-A_submitted_full,DCT Focus Measure,frequency,0.7786919570085551,12,0
REF-A_submitted_full,Absolute Central Moment 4,statistical,0.8324886120910111,13,0
REF-A_submitted_full,Normalized Variance,statistical,0.8412170680814122,14,0
REF-A_submitted_full,Spatial Frequency,gradient,0.9469732316339231,15,0
REF-A_submitted_full,Intensity Range Index,statistical,1.1232183554253772,16,0
REF-A_submitted_full,Maximal Intensity,statistical,1.3322652063214098,17,0
REF-A_submitted_full,Fourier High Frequency Energy Ratio,frequency,1.358844380455001,18,0
REF-A_submitted_full,Curvelet Transform Sharpness Index,wavelet_alias,1.4115668669897392,19,0
REF-A_submitted_full,Wavelet Detail Energy (db1),wavelet,1.4115668669897392,20,0
REF-A_submitted_full,Wavelet W1,wavelet,1.4115668669897392,21,0
REF-A_submitted_full,Wavelet W2,wavelet,1.4115668669897392,22,0
REF-A_submitted_full,Wavelet W3,wavelet,1.4115668669897392,23,0
REF-A_submitted_full,Image Power,statistical,1.9079894694787882,24,0
REF-A_submitted_full,GLCM Contrast,texture,1.9507989178196066,25,0
REF-A_submitted_full,Sum Modified Laplacian,laplacian,2.079586209778271,26,0
REF-A_submitted_full,Laplacian Energy,laplacian,2.330144256085357,27,0
REF-A_submitted_full,Variance of Laplacian,laplacian,2.330144256085357,28,0
REF-A_submitted_full,Mean Absolute Laplacian,laplacian,2.5690017927351976,29,0
