operator_a,operator_b,mean_G_difference_a_minus_b,ci_low,ci_high,probability_a_better_than_b
Tenengrad,Brenner Gradient,-0.003944000640709734,-0.005381933762020693,-0.002110072182347965,0.999
Tenengrad,Variance of Laplacian,-0.18876368273369348,-0.19709737851453774,-0.18111085208012154,1.0
Tenengrad,Sum Modified Laplacian,-0.19160168477869874,-0.20009831307906858,-0.1836605151237725,1.0
Tenengrad,Normalized Variance,-0.10984158446945268,-0.1124554065058434,-0.10706683708134632,1.0
Tenengrad,Energy of Gradient,-0.00014872874461119374,-0.0001629992679034454,-0.00013742451557145763,1.0
Tenengrad,Histogram Entropy,-0.1889408836497408,-0.1945871573560759,-0.18303682842239682,1.0
Tenengrad,GLCM Contrast,-0.25996325897068245,-0.2651307222218726,-0.25353617892818703,1.0
Tenengrad,Variance of Gradient,0.004489184219965639,0.003888263118691746,0.005171614373835439,0.0
Tenengrad,Fourier Transform Sharpness Index,-0.025661532054142098,-0.026774681163883665,-0.024125879752659972,1.0
Tenengrad,Fourier High Frequency Energy Ratio,-0.12336168833273481,-0.12849835654065023,-0.11825629396486785,1.0
Tenengrad,Roberts Focus Measure,-0.088409520421217,-0.09240422104199898,-0.08454462922598403,1.0
Tenengrad,Wavelet W1,-0.10617473283038077,-0.10862900347615935,-0.10354952339243727,1.0
Tenengrad,Wavelet W2,-0.10701591897832571,-0.10947104751393544,-0.10439047634440918,1.0
Tenengrad,Wavelet W3,-0.10655659947687343,-0.10900503821516849,-0.10393313991967665,1.0
Tenengrad,Wavelet Detail Energy (db1),-0.10635717806918797,-0.10881239411101581,-0.10373178136242174,1.0
Tenengrad,Curvelet Transform Sharpness Index,-0.10633318912479832,-0.10878741517464242,-0.10370805587750011,1.0
Tenengrad,DCT Focus Measure,-0.08676017002817299,-0.09047842715253732,-0.08313437739518116,1.0
Tenengrad,Intensity Skewness Index,-0.23286384457422768,-0.2371697140439708,-0.2239294250362945,1.0
Tenengrad,Squared Gradient,-0.00014816331273907258,-0.0001574740652331631,-0.00014050905232882403,1.0
Tenengrad,Gradient Squared Energy,-0.00018041089472599454,-0.00019622089756250253,-0.00016740262162171193,1.0
Tenengrad,Mean Intensity,-0.2132238076222463,-0.21857174356014966,-0.20501210525263036,1.0
Tenengrad,Intensity Variance,-0.11373603987591444,-0.11604140910697726,-0.11129715173957551,1.0
Tenengrad,Intensity Range Index,-0.12886500837542758,-0.13532663169267536,-0.1236629245940544,1.0
Tenengrad,Maximal Intensity,-0.23579346524529882,-0.24048029503085178,-0.23088651330291188,1.0
Tenengrad,Laplacian Energy,-0.19550514679573222,-0.2038292131490994,-0.1878566749876012,1.0
Tenengrad,Mean Absolute Laplacian,-0.19928692674953605,-0.20851310974074946,-0.19047867331339213,1.0
Tenengrad,Spatial Frequency,-0.09349906385626519,-0.09715000323910855,-0.08952981743948453,1.0
Tenengrad,Modified Tenengrad,-0.014660650859368445,-0.014945740401163882,-0.014401300890029878,1.0
Tenengrad,Absolute Central Moment 2,-0.11406871800835629,-0.11637366036864173,-0.1116286702873826,1.0
Tenengrad,Absolute Central Moment 4,-0.10907092291982852,-0.11226587561965094,-0.10603893558984202,1.0
Tenengrad,Image Power,-0.19458621438062054,-0.19963009550638453,-0.1863596497308229,1.0
Brenner Gradient,Variance of Laplacian,-0.18481968209298372,-0.19276081876418058,-0.17732251752993905,1.0
Brenner Gradient,Sum Modified Laplacian,-0.187657684137989,-0.19572978184770473,-0.17967897492191373,1.0
Brenner Gradient,Normalized Variance,-0.10589758382874294,-0.10817630429977936,-0.10387043286976298,1.0
Brenner Gradient,Energy of Gradient,0.0037952718960985402,0.0019464240841343334,0.005244287506891534,0.001
Brenner Gradient,Histogram Entropy,-0.18499688300903105,-0.19049417672598243,-0.17904138353889837,1.0
Brenner Gradient,GLCM Contrast,-0.2560192583299727,-0.2606851072276905,-0.24943674150342418,1.0
Brenner Gradient,Variance of Gradient,0.008433184860675371,0.007231342038140241,0.009546493251125401,0.0
Brenner Gradient,Fourier Transform Sharpness Index,-0.021717531413432363,-0.023018392278394355,-0.020477160740389636,1.0
Brenner Gradient,Fourier High Frequency Energy Ratio,-0.11941768769202508,-0.12441230836560505,-0.11440788376248716,1.0
Brenner Gradient,Roberts Focus Measure,-0.08446551978050726,-0.0879939409593687,-0.08084003080572133,1.0
Brenner Gradient,Wavelet W1,-0.10223073218967105,-0.10405841202067083,-0.10056154710842033,1.0
Brenner Gradient,Wavelet W2,-0.10307191833761599,-0.10490196688666287,-0.10139996233790988,1.0
Brenner Gradient,Wavelet W3,-0.1026125988361637,-0.10444358863887615,-0.1009413001779725,1.0
Brenner Gradient,Wavelet Detail Energy (db1),-0.10241317742847822,-0.10424290796516011,-0.10074165150040065,1.0
Brenner Gradient,Curvelet Transform Sharpness Index,-0.10238918848408861,-0.10421769334242367,-0.10071918482006441,1.0
Brenner Gradient,DCT Focus Measure,-0.08281616938746326,-0.08659132912369803,-0.07905460014421262,1.0
Brenner Gradient,Intensity Skewness Index,-0.22891984393351794,-0.23262056945933515,-0.22026787484838148,1.0
Brenner Gradient,Squared Gradient,0.0037958373279706613,0.00195201956831617,0.00524131244850092,0.001
Brenner Gradient,Gradient Squared Energy,0.003763589745983739,0.0019127228616946754,0.005214775163480629,0.001
Brenner Gradient,Mean Intensity,-0.2092798069815366,-0.214769160223979,-0.20051172526344285,1.0
Brenner Gradient,Intensity Variance,-0.1097920392352047,-0.11176415623976196,-0.10797170722192866,1.0
Brenner Gradient,Intensity Range Index,-0.12492100773471787,-0.13186504212247208,-0.119340563889645,1.0
Brenner Gradient,Maximal Intensity,-0.23184946460458905,-0.23707792025066732,-0.22688875053175012,1.0
Brenner Gradient,Laplacian Energy,-0.19156114615502248,-0.19949598584149847,-0.18406889045997665,1.0
Brenner Gradient,Mean Absolute Laplacian,-0.1953429261088263,-0.20482028069419025,-0.18669964983856463,1.0
Brenner Gradient,Spatial Frequency,-0.08955506321555547,-0.09276034837854812,-0.08623161134580164,1.0
Brenner Gradient,Modified Tenengrad,-0.01071665021865871,-0.012366134989234775,-0.009387090515968935,1.0
Brenner Gradient,Absolute Central Moment 2,-0.11012471736764655,-0.11209709984694169,-0.10830226939863537,1.0
Brenner Gradient,Absolute Central Moment 4,-0.10512692227911878,-0.10815041807178336,-0.1023581380155376,1.0
Brenner Gradient,Image Power,-0.1906422137399108,-0.19593884375141363,-0.18230630499051761,1.0
Variance of Laplacian,Sum Modified Laplacian,-0.0028380020450052656,-0.005597635553008633,0.0002487034912102128,0.964
Variance of Laplacian,Normalized Variance,0.07892209826424079,0.07134260747616443,0.08664047874572854,0.0
Variance of Laplacian,Energy of Gradient,0.1886149539890823,0.1809660685421115,0.19694894117202716,0.0
Variance of Laplacian,Histogram Entropy,-0.00017720091604731463,-0.008734172163464242,0.009287918144256493,0.519
Variance of Laplacian,GLCM Contrast,-0.07119957623698893,-0.08066914739930928,-0.0608988978200756,1.0
Variance of Laplacian,Variance of Gradient,0.19325286695365912,0.1860597115240861,0.2012652331032324,0.0
Variance of Laplacian,Fourier Transform Sharpness Index,0.16310215067955136,0.15555075878528826,0.17114731424810944,0.0
Variance of Laplacian,Fourier High Frequency Energy Ratio,0.06540199440095867,0.057621226359809555,0.07394905372393651,0.0
Variance of Laplacian,Roberts Focus Measure,0.10035416231247649,0.09267725699879634,0.10876761798559074,0.0
Variance of Laplacian,Wavelet W1,0.08258894990331271,0.07511082420038312,0.0909769720387147,0.0
Variance of Laplacian,Wavelet W2,0.08174776375536777,0.07427015600748256,0.0901364792571002,0.0
Variance of Laplacian,Wavelet W3,0.08220708325682007,0.07472846212271916,0.09059954803280923,0.0
Variance of Laplacian,Wavelet Detail Energy (db1),0.08240650466450553,0.07492880408313352,0.09079492504030168,0.0
Variance of Laplacian,Curvelet Transform Sharpness Index,0.08243049360889515,0.07495244430461005,0.09081885727192084,0.0
